Date-time,px (m),py (m),pz (m),vx (m/s),vy (m/s),vz (m/s)
Wednesday January 01 2025 06:22:03,156840765506.76987,742637552227.1622,-6605485783.088794,4336.313038368941,3831.312801917089,539.6937424393751
Wednesday January 01 2025 06:22:46,156840952660.99765,742637718263.6168,-6605462464.267268,4335.262671913371,3861.8027860510288,540.7579866663549
Wednesday January 01 2025 06:23:29,156841139931.77655,742637885762.5503,-6605439079.14263,4334.157548326341,3892.3171147877074,541.8223125146776
Wednesday January 01 2025 06:24:13,156841326964.52286,742638054408.5098,-6605415671.750358,4332.999763004128,3922.798294465792,542.884714820796
Wednesday January 01 2025 06:24:56,156841514045.55762,742638224460.6824,-6605392206.0404215,4331.787573531859,3953.293267768426,543.9468303226835
Wednesday January 01 2025 06:25:39,156841701401.13367,742638396131.4144,-6605368653.199056,4330.519318777321,3983.839220458772,545.0099515653916
Wednesday January 01 2025 06:26:22,156841888607.47015,742638569037.0034,-6605345066.145489,4329.197755339297,4014.367357715337,546.0716827948121
Wednesday January 01 2025 06:27:06,156842075787.67978,742638743292.5259,-6605321429.137465,4327.822030207212,4044.898038347649,547.1327324703108
Wednesday January 01 2025 06:27:49,156842263077.07642,742638919028.2349,-6605297724.743824,4326.391049772438,4075.453630505062,548.1938767452789
Wednesday January 01 2025 06:28:32,156842450035.5187,742639095832.1222,-6605274008.455909,4324.908208212546,4105.962606938095,549.2526322328551
Wednesday January 01 2025 06:29:15,156842636970.1583,742639273994.2283,-6605250241.150347,4323.371156201477,4136.475362795228,550.3107492267112
Wednesday January 01 2025 06:29:59,156842823959.46115,742639453593.2439,-6605226412.521097,4321.779164486624,4167.005001971832,551.3686811581066
Wednesday January 01 2025 06:30:42,156843010790.09375,742639634426.7441,-6605202549.480178,4320.134021612479,4197.51698183728,552.4252308548408
Wednesday January 01 2025 06:31:25,156843197591.66867,742639816621.7925,-6605178635.233039,4318.434592582878,4228.032753080105,553.4811414067519
Wednesday January 01 2025 06:32:08,156843383811.2323,742639999636.011,-6605154740.514377,4316.686097194132,4258.462238634991,554.5332988547125
Wednesday January 01 2025 06:32:51,156843570501.1594,742640184506.2445,-6605130730.011132,4314.878622235822,4288.977692044673,555.5876589748846
Wednesday January 01 2025 06:33:35,156843757076.9747,742640370661.611,-6605106678.404297,4313.017586563279,4319.48390153007,556.6409288982694
Wednesday January 01 2025 06:34:18,156843943768.26523,742640558335.1816,-6605082555.762493,4311.100613001473,4350.018705314895,557.69441406356
Wednesday January 01 2025 06:35:01,156844129955.03738,742640746903.3618,-6605058442.034859,4309.134149976122,4380.480967493924,558.74462658139
Wednesday January 01 2025 06:35:44,156844316357.0907,742640937096.0104,-6605034243.788656,4307.1106308523185,4410.988732628038,559.7956369041589
Wednesday January 01 2025 06:36:27,156844502128.79303,742641128049.7755,-6605010070.649262,4305.039324467832,4441.403864708557,560.8426876850149
Wednesday January 01 2025 06:37:11,156844687834.40155,742641320340.9962,-6604985849.168726,4302.914150128862,4471.818986829404,561.8889707398141
Wednesday January 01 2025 06:37:54,156844874023.5916,742641514547.909,-6604961507.112246,4300.7285336758,4502.324464779269,562.9375909564203
Wednesday January 01 2025 06:38:37,156845059818.4267,742641709760.1838,-6604937158.866598,4298.492639313293,4532.776767886326,563.9836127963266
Wednesday January 01 2025 06:39:20,156845245801.91428,742641906592.5051,-6604912727.769171,4296.199437077101,4563.271739067093,565.0303285197076
Wednesday January 01 2025 06:40:04,156845431585.03467,742642104637.5765,-6604888264.568671,4293.8536210374705,4593.745897461658,566.0755580631296
Wednesday January 01 2025 06:40:47,156845617126.5379,742642303850.9612,-6604863774.543255,4291.455798125931,4624.192740759048,567.1190799217504
Wednesday January 01 2025 06:41:30,156845802675.84448,742642504502.4556,-6604839224.516946,4289.002735913074,4654.653482948775,568.1623068375616
Wednesday January 01 2025 06:42:13,156845988119.7837,742642706473.317,-6604814629.141196,4286.495858166437,4685.109844621871,569.2046120861678
Wednesday January 01 2025 06:42:57,156846173383.48413,742642909683.5303,-6604789998.111255,4283.936185927813,4715.549809655328,570.245584898015
Wednesday January 01 2025 06:43:40,156846358525.15555,742643114198.3427,-6604765323.458702,4281.322928786839,4745.983221182254,571.2855624169663
Wednesday January 01 2025 06:44:23,156846543800.32507,742643320305.1504,-6604740570.743393,4278.652350539607,4776.452396866352,572.3259892736568
Wednesday January 01 2025 06:45:06,156846729147.56818,742643527943.1152,-6604715747.687349,4275.925116793622,4806.947573463468,573.3665293769371
Wednesday January 01 2025 06:45:50,156846913846.81702,742643736303.9591,-6604690950.624039,4273.151951923308,4837.350527599299,574.4031509311197
Wednesday January 01 2025 06:46:33,156847098189.6252,742643945709.9796,-6604666140.518054,4270.328798304321,4867.709449143553,575.4375018374187
Wednesday January 01 2025 06:47:16,156847282795.93268,742644156869.5923,-6604641233.587735,4267.44606856592,4898.126740218864,576.4730700911232
Wednesday January 01 2025 06:47:59,156847467235.60297,742644369297.3009,-6604616287.422496,4264.510297835874,4928.531858269959,577.5074519032875
Wednesday January 01 2025 06:48:43,156847651557.9398,742644583051.9695,-6604591295.096493,4261.520688896613,4958.933215889225,578.540933686195
Wednesday January 01 2025 06:49:26,156847835873.3026,742644798265.6317,-6604566241.304832,4258.475364205622,4989.349321401858,579.5741438055804
Wednesday January 01 2025 06:50:09,156848019582.94254,742645014237.4451,-6604541207.339702,4255.384348406563,5019.681610745704,580.6037363477271
Wednesday January 01 2025 06:50:52,156848203267.7283,742645231648.4081,-6604516113.95887,4252.238005759266,5050.026231152011,581.6329772243748
Wednesday January 01 2025 06:51:35,156848386983.54486,742645450570.4884,-6604490953.111013,4249.035224213963,5080.392740560269,582.6621889030624
Wednesday January 01 2025 06:52:19,156848570737.62735,742645671018.9857,-6604465723.350878,4245.77569070631,5110.7826716796135,583.6914211764997
Wednesday January 01 2025 06:53:02,156848754393.24658,742645892835.073,-6604440443.059812,4242.461699715839,5141.173732684692,584.7199177024943
Wednesday January 01 2025 06:53:45,156848937852.63382,742646115903.1074,-6604415125.422852,4239.0949892689105,5171.550033945541,585.7471408205489
Wednesday January 01 2025 06:54:28,156849121127.95053,742646340239.3427,-6604389768.53102,4235.675346782916,5201.913866360081,586.7731685911326
Wednesday January 01 2025 06:55:12,156849304222.6418,742646565849.717,-6604364371.666176,4232.202708853681,5232.266080671838,587.7980302248918
Wednesday January 01 2025 06:55:55,156849487138.41608,742646792738.1862,-6604338934.344417,4228.677039017068,5262.607241380176,588.8217451845017
Wednesday January 01 2025 06:56:38,156849670110.94952,742647021201.9298,-6604313423.413554,4225.093677844929,5292.976760152253,589.8456420903616
Wednesday January 01 2025 06:57:22,156849852693.80255,742647250685.832,-6604287900.851109,4221.461346756602,5323.300824625458,590.8672325608991
Wednesday January 01 2025 06:58:05,156850035231.82108,742647481624.456,-6604262318.236884,4217.773208105403,5353.636980148308,591.8884560370784
Wednesday January 01 2025 06:58:48,156850217650.89545,742647713928.6086,-6604236685.59128,4214.030653221232,5383.973226624761,592.9089075913793
Wednesday January 01 2025 06:59:31,156850399586.28455,742647947132.967,-6604211054.037984,4210.241261642024,5414.249152740733,593.9265569117356
Wednesday January 01 2025 07:00:14,156850581617.95938,742648181982.8573,-6604185341.6196375,4206.392946680845,5444.561553034734,594.9446579083096
Wednesday January 01 2025 07:00:58,156850763234.09946,742648417820.7836,-6604159620.34267,4202.496487436215,5474.825490825684,595.9603577609887
Wednesday January 01 2025 07:01:41,156850945136.40863,742648655563.2666,-6604133790.428306,4198.536695380003,5505.158223724266,596.9775904935151
Wednesday January 01 2025 07:02:24,156851126743.5073,742648894457.3835,-6604107933.959684,4194.5260327411,5535.463155562508,597.9931145694147
Wednesday January 01 2025 07:03:07,156851307743.80124,742649134088.9128,-6604082095.330125,4190.47160685368,5565.688483573783,599.0051976529843
Wednesday January 01 2025 07:03:51,156851489105.87622,742649375744.2898,-6604056135.923101,4186.35163327786,5595.996264160542,600.019265481827
Wednesday January 01 2025 07:04:34,156851669904.1453,742649618194.9288,-6604030187.849596,4182.187027510647,5626.232140823559,601.0301524843635
Wednesday January 01 2025 07:05:17,156851850714.64893,742649862213.6166,-6604004168.25963,4177.964573168895,5656.49270535021,602.0410893022961
Wednesday January 01 2025 07:06:00,156852031180.8668,742650107322.3981,-6603978128.152309,4173.692541337123,5686.718588966258,603.0500923753838
Wednesday January 01 2025 07:06:44,156852211481.65594,742650353765.175,-6603952041.513687,4169.366725643128,5716.940014012561,604.058171518003
Wednesday January 01 2025 07:07:27,156852391877.64172,742650601904.9454,-6603925870.167866,4164.980686591368,5747.20101828185,605.0667937377326
Wednesday January 01 2025 07:08:10,156852571696.57184,742650850818.4845,-6603899711.4151,4160.550777895031,5777.389105940596,606.0722101558763
Wednesday January 01 2025 07:08:53,156852751535.65097,742651101333.0422,-6603873478.191217,4156.062329586154,5807.604795128314,607.0777696832906
Wednesday January 01 2025 07:09:37,156852931145.11896,742651353105.9027,-6603847206.531585,4151.521446830124,5837.806452309726,608.0820856524235
Wednesday January 01 2025 07:10:20,156853110663.3682,742651606334.8868,-6603820875.85824,4146.924553179117,5868.017657723245,609.0859417510545
Wednesday January 01 2025 07:11:03,156853289778.47275,742651860581.5892,-6603794531.689374,4142.27964037693,5898.186191262077,610.0876034694052
Wednesday January 01 2025 07:11:46,156853468883.5135,742652116406.7285,-6603768115.924499,4137.576476574363,5928.378552444891,611.0892788358835
Wednesday January 01 2025 07:12:30,156853647556.55527,742652373210.0677,-6603741690.52251,4132.826114882,5958.523901083842,612.0886178837738
Wednesday January 01 2025 07:13:13,156853826403.75998,742652631867.8324,-6603715165.44351,4128.012318779553,5988.724836685593,613.0890208802477
Wednesday January 01 2025 07:13:56,156854004995.07846,742652891765.5259,-6603688603.96521,4123.146452673104,6018.9091090909915,614.088092386367
Wednesday January 01 2025 07:14:39,156854183262.48688,742653152804.9789,-6603662016.007404,4118.2304025052,6049.065482296246,615.0854615653809
Wednesday January 01 2025 07:15:23,156854361034.6296,742653414732.8959,-6603635427.07883,4113.269043056317,6079.165175604843,616.0801791541669
Wednesday January 01 2025 07:16:06,156854539012.4482,742653678586.9513,-6603608731.955058,4108.242694976119,6109.327198508594,617.0761772162364
Wednesday January 01 2025 07:16:49,156854716894.07147,742653943930.0996,-6603581975.268371,4103.159563407764,6139.500816762954,618.0717768740734
Wednesday January 01 2025 07:17:32,156854894378.0354,742654210314.9471,-6603555202.099355,4098.028241595797,6169.63517890737,619.0653006293962
Wednesday January 01 2025 07:18:16,156855071474.16437,742654477754.5677,-6603528410.886421,4092.8485684666734,6199.732169011363,620.0568128764685
Wednesday January 01 2025 07:18:59,156855248144.0018,742654746188.8594,-6603501607.385306,4087.6218043196054,6229.785459832034,621.0461076138442
Wednesday January 01 2025 07:19:42,156855424876.55902,742655016365.1456,-6603474717.046613,4082.333386712689,6259.878556320885,622.0359330970022
Wednesday January 01 2025 07:20:25,156855601133.50546,742655287464.1624,-6603447821.448932,4076.999351509521,6289.920102524058,623.0232841722491
Wednesday January 01 2025 07:21:09,156855777391.75797,742655560222.3838,-6603420847.523787,4071.6052209565332,6319.991680051449,624.0108422241685
Wednesday January 01 2025 07:21:52,156855953387.41885,742655834237.4507,-6603393835.2173195,4066.158914511016,6350.048615715933,624.9971388387665
Wednesday January 01 2025 07:22:35,156856129182.77756,742656109609.6077,-6603366774.659211,4060.658447768418,6380.10184867764,625.9825329462965
Wednesday January 01 2025 07:23:19,156856305220.62112,742656387043.0378,-6603339597.032962,4055.0896450428113,6410.227512262096,626.9695173905424
Wednesday January 01 2025 07:24:02,156856480549.85355,742656665042.2284,-6603312448.856687,4049.4825317467103,6440.263148194536,627.9527695978511
Wednesday January 01 2025 07:24:45,156856655617.2659,742656944311.8246,-6603285260.973269,4043.823016743109,6470.285466986006,628.9348040459251
Wednesday January 01 2025 07:25:28,156856830565.93936,742657225084.8701,-6603258010.778958,4038.1063624632193,6500.3193359905545,629.9164334413957
Wednesday January 01 2025 07:26:12,156857004968.6146,742657506676.4069,-6603230764.63444,4032.346563930715,6530.291660085466,630.895269907914
Wednesday January 01 2025 07:26:55,156857179233.75272,742657789746.4828,-6603203458.547814,4026.5301723206653,6560.272885551812,631.8736153481996
Wednesday January 01 2025 07:27:38,156857353346.27994,742658074276.9967,-6603176094.421648,4020.6575217336012,6590.260780005101,632.851395506742
Wednesday January 01 2025 07:28:21,156857527530.83514,742658360644.6559,-6603148636.335968,4014.72075087591,6620.2944581531965,633.8298828851695
Wednesday January 01 2025 07:29:05,156857701018.22305,742658647586.5061,-6603121205.313001,4008.7460779078388,6650.241561940741,634.8047660846266
Wednesday January 01 2025 07:29:48,156857874241.9098,742658935816.1985,-6603093732.8205595,4002.7187527372275,6680.177088687219,635.7784895580479
Wednesday January 01 2025 07:30:31,156858047171.7552,742659225286.365,-6603066223.352207,3996.6397843593118,6710.096121159413,636.7508936320689
Wednesday January 01 2025 07:31:14,156858220219.3558,742659516694.6101,-6603038610.862207,3990.4944554447834,6740.070278827791,637.7243036666447
Wednesday January 01 2025 07:31:58,156858392423.55548,742659808422.7782,-6603011048.546813,3984.3169439240332,6769.933320376887,638.6933223334797
Wednesday January 01 2025 07:32:41,156858564979.67487,742660102499.9153,-6602983344.738176,3978.064284191829,6799.892852157137,639.664685919776
Wednesday January 01 2025 07:33:24,156858736871.7466,742660397201.4417,-6602955662.064072,3971.773104714123,6829.772854192437,640.6326858838672
